aalib 1.4rc5-14
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-jp-fonts 2.004-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-1
alsa-card-profiles 1:0.3.51-1
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
amdvlk 2022.Q2.1-1
android-tools 31.0.3-5
android-udev 20220102-1
aom 3.3.0-1
appstream-glib 0.7.18-2
archlinux-keyring 20220424-1
argon2 20190702-4
asar 3.1.0-2
asciidoc 10.1.4-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
atool 0.39.0-8
attr 2.5.1-2
audiofile 0.3.6-6
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
autotiling 1.6-2
avahi 0.8+22+gfd482a7-3
avisynthplus 3.7.2-1
base 2-2
bash 5.1.016-1
bat 0.20.0-2
bc 1.07.1-4
binutils 2.38-4
bison 3.8.2-4
bleachbit 4.4.2-2
bluez 5.64-2
bluez-hid2hci 5.64-2
bluez-libs 5.64-2
bluez-utils 5.64-2
boost 1.78.0-2
boost-libs 1.78.0-2
botan 2.19.1-1
bridge-utils 1.7.1-1
brotli 1.0.9-8
btop 1.2.6-1
btrfs-progs 5.17-1
bubblewrap 0.6.1-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.78-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
capitaine-cursors 4-1
catch2 2.13.9-1
cdparanoia 10.2-8
chromaprint 1.5.1-3
chromium 101.0.4951.54-1
cifs-utils 6.15-1
clang 13.0.1-2
clipcat 0.5.0-2
cmake 3.23.1-1
compiler-rt 13.0.1-1
confuse 3.3-3
copyq 6.1.0-1
corectrl 1.2.3-1
coreutils 9.1-1
cpio 2.13-2
cronie 1.6.1-1
cryptsetup 2.4.3-2
curl 7.83.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.15-1
dhcpcd 9.4.1-1
diffutils 3.8-1
dkms 3.0.3-1
dmenu 5.1-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2
dotnet-host 6.0.2.sdk102-1
dotnet-runtime 6.0.2.sdk102-1
dotnet-sdk 6.0.2.sdk102-1
dotnet-targeting-pack 6.0.2.sdk102-1
double-conversion 3.2.0-1
doxygen 1.9.3-1
dracut 056-1
dtc 1.6.1-4
dunst 1.8.1-1
e2fsprogs 1.46.5-3
edk2-ovmf 202202-2
efibootmgr 17-2
efivar 38-2
enchant 2.3.3-1
exa 0.10.1-5
exfat-utils 1.3.0-2
expat 2.4.8-1
extra-cmake-modules 5.93.0-1
faad2 2.10.0-1
fakeroot 1.28-1
fd 8.3.2-1
ffmpeg 2:5.0-6
ffmpeg4.4 4.4.1-4
ffmpegthumbnailer 2.2.2-4
ffnvcodec-headers 11.1.5.1-2
fftw 3.3.10-2
file 5.41-1
file-roller 3.42.0-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 100.0-1
firefox-i18n-ru 100.0-1
flac 1.3.4-2
flameshot 11.0.0-5
flashrom 1.2-3
flatbuffers 2.0.6-1
flex 2.6.4-3
fluidsynth 2.2.7-1
fmt 8.1.1-2
fontconfig 2:2.14.0-1
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fwupd 1.8.0-1
fwupd-efi 1.3-1
galculator 2.1.4-7
game-devices-udev 0.16-2
gamemode 1.6.1-2
gawk 5.1.1-1
gc 8.2.0-3
gcab 1.4-1
gcc 11.2.0-4
gcc-libs 11.2.0-4
gcr 3.41.0-2
gd 2.3.3-3
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gdu 5.13.2-2
gettext 0.21-2
ghostscript 9.56.1-1
giflib 5.2.1-2
giph 1.1.1-2
git 2.36.0-1
glew 2.2.0-3
glib-networking 1:2.72.0-1
glib2 2.72.1-1
glib2-docs 2.72.1-1
glibc 2.35-3
glibmm 2.66.4-1
glslang 11.9.0-1
glu 9.0.2-3
gmp 6.2.1-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnupg 2.2.35-1
gnutls 3.7.4-2
go 2:1.18.1-1
gobject-introspection-runtime 1.72.0-1
goverlay-bin 0.8.1-3
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-1
graphviz 3.0.0-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06-5
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsimplecal 2.2-1
gsm 1.0.19-1
gst-plugin-pipewire 1:0.3.51-1
gst-plugins-base 1.20.2-1
gst-plugins-base-libs 1.20.2-1
gst-plugins-good 1.20.2-1
gstreamer 1.20.2-1
gtk-doc 1.33.2-1
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:4.6.3-1
gtk-vnc 1.3.0-1
gtk2 2.24.33-2
gtk3 1:3.24.33-3
gtkmm 1:2.24.5-4
gtkmm3 3.24.6-1
gtksourceview4 4.8.3-1
gts 0.7.6.121130-2
guile 2.2.7-2
gvfs 1.50.1-1
gvfs-mtp 1.50.1-1
gzip 1.12-1
hacksaw 1.0.4-1
harfbuzz 4.2.1-1
harfbuzz-icu 4.2.1-1
hdparm 9.63-2
hicolor-icon-theme 0.17-2
hid-nintendo-dkms 3.2-2
hidapi 0.11.2-1
htop 3.2.0-1
http-parser 2.9.4-1
hwdata 0.358-1
hwinfo 21.80-2
hwloc 2.7.1-1
hyphen 2.8.8-3
i3-gaps 4.20.1-2
i3lock-color 2.13.c.4-1
i3status 2.14-1
iana-etc 20220427-1
icu 71.1-1
ijs 0.35-3
imagemagick 7.1.0.32-1
imlib2 1.9.0-3
imwheel 1.0.0pre12-6
iniparser 4.1-4
intel-ucode 20220419-1
intltool 0.51.0-6
inxi 3.3.15.1-1
iproute2 5.17.0-3
iptables-nft 1:1.8.7-1
iputils 20211215-1
iso-codes 4.9.0-1
iw 5.16-1
jansson 2.14-2
jbig2dec 0.19-1
jq 1.6-4
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
karchive 5.93.0-1
kauth 5.93.0-1
kbd 2.4.0-2
kbookmarks 5.93.0-1
kcmutils 5.93.0-1
kcodecs 5.93.0-1
kcompletion 5.93.0-1
kconfig 5.93.0-1
kconfigwidgets 5.93.0-1
kcontacts 1:5.93.0-1
kcoreaddons 5.93.0-1
kcrash 5.93.0-1
kdbusaddons 5.93.0-1
kdeclarative 5.93.0-1
kdeconnect 22.04.0-2
kded 5.93.0-1
keepassxc 2.7.1-1
keyutils 1.6.3-1
kglobalaccel 5.93.0-1
kguiaddons 5.93.0-1
ki18n 5.93.0-1
kiconthemes 5.93.0-1
kio 5.93.0-1
kirigami2 5.93.0-1
kitemviews 5.93.0-1
kjobwidgets 5.93.0-1
kmod 29-3
knotifications 5.93.0-1
kotatogram-desktop-bin 1.4.9-1
kpackage 5.93.0-1
kpeople 5.93.0-1
kpeoplevcard 0.1-1
krb5 1.19.3-1
kservice 5.93.0-1
